problem,library,execution_time
Promedus_27,TensorInference,0.015468792
Promedus_27,JunctionTrees_v1,0.058401579
Promedus_27,JunctionTrees_v2,0.00987537
Promedus_27,merlin,0.189542
Promedus_27,libdai,0.074919
Pedigree_13,TensorInference,0.020779531
Pedigree_13,JunctionTrees_v1,0.193289899
Pedigree_13,JunctionTrees_v2,0.020269156
Pedigree_13,merlin,0.4582519
Pedigree_13,libdai,0.322515
Pedigree_11,TensorInference,0.021048515
Pedigree_11,JunctionTrees_v1,0.180235322
Pedigree_11,JunctionTrees_v2,0.018558964
Pedigree_11,merlin,0.08701300000000001
Pedigree_11,libdai,0.6262369999999999
Pedigree_12,TensorInference,0.021039663
Pedigree_12,JunctionTrees_v1,0.192473551
Pedigree_12,JunctionTrees_v2,0.02014895
Pedigree_12,merlin,0.275181
Pedigree_12,libdai,0.65883
Promedus_20,TensorInference,0.026142655
Promedus_20,JunctionTrees_v1,0.608106952
Promedus_20,JunctionTrees_v2,0.035110927
Promedus_20,merlin,0.9625862000000001
Promedus_20,libdai,1.5550050000000002
Promedus_12,TensorInference,0.02236664
Promedus_12,JunctionTrees_v1,0.34431704
Promedus_12,JunctionTrees_v2,0.016395563
Promedus_12,merlin,0.2213718
Promedus_12,libdai,1.8269760000000002
Promedus_38,TensorInference,0.032112287
Promedus_38,JunctionTrees_v1,0.913009981
Promedus_38,JunctionTrees_v2,0.039194864
Promedus_38,merlin,9.621984099999999
Promedus_38,libdai,3.327306
Promedus_23,TensorInference,0.024702318
Promedus_23,JunctionTrees_v1,0.664407643
Promedus_23,JunctionTrees_v2,0.031115439
Promedus_23,merlin,0.9756101
Promedus_23,libdai,4.818973
linkage_24,TensorInference,47.788619377
linkage_24,JunctionTrees_v1,3.354999206
linkage_24,JunctionTrees_v2,0.141770954
linkage_24,merlin,55.061488
linkage_24,libdai,11.647298000000001
CSP_13,TensorInference,2.345640144
CSP_13,JunctionTrees_v1,4.182826305
CSP_13,JunctionTrees_v2,1.853691876
CSP_13,merlin,1.6148500000000006
CSP_13,libdai,23.111027
Grids_11,TensorInference,0.155204302
Grids_11,JunctionTrees_v1,1.655566752
Grids_11,JunctionTrees_v2,0.118732046
Grids_11,merlin,0.68178598
Grids_11,libdai,1.576412
Grids_13,TensorInference,0.139044184
Grids_13,JunctionTrees_v1,1.709726425
Grids_13,JunctionTrees_v2,0.11767481
Grids_13,merlin,0.71227685
Grids_13,libdai,1.458256
Grids_14,TensorInference,0.199279652
Grids_14,JunctionTrees_v1,1.668848918
Grids_14,JunctionTrees_v2,0.118491936
Grids_14,merlin,0.7117920000000001
Grids_14,libdai,1.5935530000000002
Alchemy_11,TensorInference,0.045628828
Alchemy_11,JunctionTrees_v1,666.708890844
Alchemy_11,JunctionTrees_v2,1.045108757
Alchemy_11,merlin,255.890919
Alchemy_11,libdai,4.853249
Promedus_17,TensorInference,0.043180484
Promedus_17,JunctionTrees_v1,3.439930184
Promedus_17,JunctionTrees_v2,0.278372034
Promedus_17,merlin,16.162656
Promedus_17,libdai,6.24974
Promedus_37,TensorInference,0.042363459
Promedus_37,JunctionTrees_v1,1.071724889
Promedus_37,JunctionTrees_v2,0.041561886
Promedus_37,merlin,1.980364
Promedus_37,libdai,3.095429
Grids_15,TensorInference,0.65525573
Grids_15,JunctionTrees_v1,19.492225268
Grids_15,JunctionTrees_v2,1.513144754
Grids_15,merlin,43.425704
Grids_15,libdai,74.610527
Grids_16,TensorInference,0.476283282
Grids_16,JunctionTrees_v1,19.242689408
Grids_16,JunctionTrees_v2,1.522301586
Grids_16,merlin,43.4390408
Grids_16,libdai,73.37991099999999
Grids_17,TensorInference,0.449253087
Grids_17,JunctionTrees_v1,19.280274008
Grids_17,JunctionTrees_v2,1.519964816
Grids_17,merlin,43.461718
Grids_17,libdai,73.697535
Grids_18,TensorInference,0.462372575
Grids_18,JunctionTrees_v1,19.222555262
Grids_18,JunctionTrees_v2,1.513109262
Grids_18,merlin,43.389733
Grids_18,libdai,75.130144
Promedus_19,TensorInference,0.047309899
Promedus_19,JunctionTrees_v1,3.039316906
Promedus_19,JunctionTrees_v2,0.160775829
Promedus_19,merlin,13.591548
Promedus_19,libdai,15.675709000000001
Promedus_25,TensorInference,0.040160309
Promedus_25,JunctionTrees_v1,2.373483
Promedus_25,JunctionTrees_v2,0.106018305
Promedus_25,merlin,9.765767
Promedus_25,libdai,3.628866
Promedus_14,TensorInference,0.033162615
Promedus_14,JunctionTrees_v1,16.223252515
Promedus_14,JunctionTrees_v2,1.89619997
Promedus_14,merlin,23.982594
Promedus_14,libdai,8.856916
